Murrunkan-1,Pavattakulam-1,Nachchiduva-1,Vavniya-1,Mannr-1,Apura-1,Kappachichiya-1,Murrunkan,Pavattakulam,Nachchiduva,Vavniya,Mannr,Apura,Kappachichiya
0,10,0,0.3,0,0,0.27,0,0,0,0.5,0,0,0.0027
0,0,0,0.5,0,0,0.27,0,0,0,4.1,0,0.8,0.0025
0,0,0,4.1,0,0.8,0.25,0,0,1.82,0,0,0,0.0025
0,0,1.82,0,0,0,0.25,0,9,2.28,23,6.7,0.3,0.0025
0,9,2.28,23,6.7,0.3,0.25,0,0,0,1.8,0,1.9,0.0025
0,0,0,1.8,0,1.9,0.25,0,0,2.28,12.6,0,29.9,0.0027
0,0,2.28,12.6,0,29.9,0.27,0,6,3.41,3.1,13.1,37.9,0.0029
0,6,3.41,3.1,13.1,37.9,0.29,6.66,6,1.14,1.4,5.8,9.2,0.0028
6.66,6,1.14,1.4,5.8,9.2,0.28,2.88,0,2.73,0.4,0.3,10.1,0.0032
2.88,0,2.73,0.4,0.3,10.1,0.32,1.62,0,0,6.3,0,4.6,0.0051
1.62,0,0,6.3,0,4.6,0.51,2.25,0,0,0,0,0,0.0062
2.25,0,0,0,0,0,0.62,0,0,0,1,0,0.6,0.0055
0,0,0,1,0,0.6,0.55,0,6,0,0.3,0,0.9,0.006
0,6,0,0.3,0,0.9,0.6,0,0,1.14,1.9,0,4.4,0.0063
0,0,1.14,1.9,0,4.4,0.63,2.88,0,0,0.6,26.7,3.4,0.0062
2.88,0,0,0.6,26.7,3.4,0.62,0,0,1.82,0,0,1.6,0.0062
0,0,1.82,0,0,1.6,0.62,0,0,0,32.9,0,0,0.0053
0,0,0,32.9,0,0,0.53,0,4,0.91,1.2,0,47,0.0044
0,4,0.91,1.2,0,47,0.44,0,36,12.52,6.9,72.1,69.4,0.0074
0,36,12.52,6.9,72.1,69.4,0.74,0.81,0,0,0,0,0,0.3669
0.81,0,0,0,0,0,36.69,0,0,0.68,2.8,2.4,22.8,0.1734
0,0,0.68,2.8,2.4,22.8,17.34,11.7,65,3.41,52,61.5,47.3,0.0745
11.7,65,3.41,52,61.5,47.3,7.45,84.87,0,2.73,0.6,8.9,20.9,0.1766
84.87,0,2.73,0.6,8.9,20.9,17.66,3.87,6,0,0,0,0,0.2799
3.87,6,0,0,0,0,27.99,0,0,0,0,0,0,0.1039
0,0,0,0,0,0,10.39,0,0,0,0,0,0,0.0605
0,0,0,0,0,0,6.05,0,0,0,0,0,1.7,0.0417
0,0,0,0,0,1.7,4.17,0,0,0,0,0,0,0.0331
0,0,0,0,0,0,3.31,0,0,0,0,0,0,0.029
0,0,0,0,0,0,2.9,0,27,0,13.8,0,1.8,0.0222
0,27,0,13.8,0,1.8,2.22,22.5,0,0,24,6.1,25.5,0.0138
22.5,0,0,24,6.1,25.5,1.38,6.3,0,0,12.4,27.4,15.3,0.043
6.3,0,0,12.4,27.4,15.3,4.3,9.9,0,50.08,2.9,13.3,13.3,0.0971
9.9,0,50.08,2.9,13.3,13.3,9.71,0,0,34.15,4.9,34,81,0.133
0,0,34.15,4.9,34,81,13.3,35.1,0,27.32,1.5,46.3,18.1,0.4208
35.1,0,27.32,1.5,46.3,18.1,42.08,0,15,27.32,4.7,1.9,1.5,0.3544
0,15,27.32,4.7,1.9,1.5,35.44,0,10,0,0.9,5,8.6,0.2265
0,10,0,0.9,5,8.6,22.65,0,0,0,0,0.3,24.1,0.1599
0,0,0,0,0.3,24.1,15.99,0,40,50.08,56.3,21.9,16.4,0.1402
0,40,50.08,56.3,21.9,16.4,14.02,34.2,7,29.59,44.3,80.6,1.7,0.19
34.2,7,29.59,44.3,80.6,1.7,19,11.7,16,72.85,18.1,40.8,20.4,0.1955
11.7,16,72.85,18.1,40.8,20.4,19.55,0,0,72.85,0,3.3,0,0.4205
0,0,72.85,0,3.3,0,42.05,0,0,0,0,0,2.4,0.2131
0,0,0,0,0,2.4,21.31,0,0,11.38,0,0,0,0.1125
0,0,11.38,0,0,0,11.25,0,0,0,0,0,0,0.0867
0,0,0,0,0,0,8.67,0,0,0,5.6,6.8,0,0.0633
0,0,0,5.6,6.8,0,6.33,24.75,33,29.59,62.3,33.4,24.4,0.0558
24.75,33,29.59,62.3,33.4,24.4,5.58,40.05,58,50.08,77.3,49.9,38.1,0.0706
40.05,58,50.08,77.3,49.9,38.1,7.06,6.48,5,15.94,11.6,17.2,2.8,0.6759
6.48,5,15.94,11.6,17.2,2.8,67.59,0,0,0,4,13.5,0.1,0.3479
0,0,0,4,13.5,0.1,34.79,34.2,0,0,15.8,43.1,14,0.1877
34.2,0,0,15.8,43.1,14,18.77,47.16,0,0,0,42.1,10.6,0.2411
47.16,0,0,0,42.1,10.6,24.11,0,0,11.38,17.8,9.4,15.7,0.2429
0,0,11.38,17.8,9.4,15.7,24.29,1.8,0,0,0,0,0.1,0.2908
1.8,0,0,0,0,0.1,29.08,0,0,0,3,1.2,0.7,0.161
0,0,0,3,1.2,0.7,16.1,0,0,0,0,0,2.4,0.1332
0,0,0,0,0,2.4,13.32,0,0,0,0,0,0,0.105
0,0,0,0,0,0,10.5,0,0,0,0,0,0,0.0918
0,0,0,0,0,0,9.18,0,0,0,0,0,0,0.0789
0,0,0,0,0,0,7.89,0,0,0,0,0,0,0.0642
0,0,0,0,0,0,6.42,0,0,0,14,17.6,0.7,0.0676
0,0,0,14,17.6,0.7,6.76,19.8,0,3.41,3.2,3.2,23.3,0.2195
19.8,0,3.41,3.2,3.2,23.3,21.95,0,0,0,0,0,0,0.4934
0,0,0,0,0,0,49.34,0,0,0,0,0,0.1,0.2155
0,0,0,0,0,0.1,21.55,0,0,0,0,0,0,0.1097
0,0,0,0,0,0,10.97,0,0,0,2.9,0,1.9,0.068
0,0,0,2.9,0,1.9,6.8,21.6,20,0,13.8,16.6,5.1,0.0603
21.6,20,0,13.8,16.6,5.1,6.03,0,0,1.14,7,16.3,1.9,0.1005
0,0,1.14,7,16.3,1.9,10.05,43.2,12,1.14,27.2,13.6,0.6,0.1842
43.2,12,1.14,27.2,13.6,0.6,18.42,0,0,0.46,9,13.7,15,0.109
0,0,0.46,9,13.7,15,10.9,1.8,5,2.73,8.9,0.7,2.3,0.1206
1.8,5,2.73,8.9,0.7,2.3,12.06,0,0,0,0,0,9.8,0.1012
0,0,0,0,0,9.8,10.12,1.8,0,0,3.6,4.4,7.4,0.0883
1.8,0,0,3.6,4.4,7.4,8.83,0,0,0.91,1.9,0,1.4,0.0773
0,0,0.91,1.9,0,1.4,7.73,0,0,0.46,1.4,1.2,2,0.0859
0,0,0.46,1.4,1.2,2,8.59,0,0,0.46,0,0.2,0.8,0.0702
0,0,0.46,0,0.2,0.8,7.02,0,0,0,0.3,0,0,0.0627
0,0,0,0.3,0,0,6.27,0,0,0,0,0,0,0.0547
0,0,0,0,0,0,5.47,0,0,0,2.6,0,27.4,0.0412
0,0,0,2.6,0,27.4,4.12,0,0,0,0,0,4.7,0.1387
0,0,0,0,0,4.7,13.87,0,0,0,0,0,0,0.1462
0,0,0,0,0,0,14.62,0,0,0,0,0,0,0.1186
0,0,0,0,0,0,11.86,0,0,0,0,0,0,0.0845
0,0,0,0,0,0,8.45,0,0,0,0,0,0,0.0674
0,0,0,0,0,0,6.74,0,0,0,0,0,0,0.0524
0,0,0,0,0,0,5.24,0,0,0,0,0,0,0.048
0,0,0,0,0,0,4.8,0,0,0,0,0,0,0.0467
0,0,0,0,0,0,4.67,0,0,0,0,0.6,0,0.0467
0,0,0,0,0.6,0,4.67,0,0,0,0.8,0,0.1,0.0523
0,0,0,0.8,0,0.1,5.23,0,0,0,0,0,0,0.0639
0,0,0,0,0,0,6.39,0,0,0,0,0,0,0.0597
0,0,0,0,0,0,5.97,0,0,0,0.2,0,0.6,0.0557
0,0,0,0.2,0,0.6,5.57,14.4,1,0,53.2,4.7,9.9,0.0493
14.4,1,0,53.2,4.7,9.9,4.93,46.35,20,8.03,16.5,50.5,5,0.0456
46.35,20,8.03,16.5,50.5,5,4.56,0,0,0,0.4,0,0,0.0622
0,0,0,0.4,0,0,6.22,15.3,0,4.82,5.3,11.7,0.6,0.0668
15.3,0,4.82,5.3,11.7,0.6,6.68,0,0,1.61,6.1,0.5,0.3,0.071
0,0,1.61,6.1,0.5,0.3,7.1,0,0,0,2.1,0,0,0.0605
0,0,0,2.1,0,0,6.05,0,0,0,1,0,1.6,0.0568
0,0,0,1,0,1.6,5.68,0,4,0,1.8,2.7,18.6,0.0529
0,4,0,1.8,2.7,18.6,5.29,0.9,6,0,3.1,0,36.3,0.0489
0.9,6,0,3.1,0,36.3,4.89,0,8,0,4.2,0.9,5.7,0.0939
0,8,0,4.2,0.9,5.7,9.39,3.6,0,35.33,45.4,12.2,41.2,0.1851
3.6,0,35.33,45.4,12.2,41.2,18.51,34.65,0,41.76,0.2,0,0,0.4749
34.65,0,41.76,0.2,0,0,47.49,0,0,0,0,0,0,0.1957
0,0,0,0,0,0,19.57,0,0,0,0,0,0,0.0943
0,0,0,0,0,0,9.43,0,0,0,0,0,0,0.0717
0,0,0,0,0,0,7.17,0,0,0,0,0,0,0.0549
0,0,0,0,0,0,5.49,0,0,0,0,0,0,0.0419
0,0,0,0,0,0,4.19,0,0,0,0,0,0,0.0403
0,0,0,0,0,0,4.03,0,0,0,0,0,0,0.0486
0,0,0,0,0,0,4.86,0,0,0,0,0,0,0.0559
0,0,0,0,0,0,5.59,0,0,0,0,0,0,0.0631
0,0,0,0,0,0,6.31,0,0,0,1,0,0,0.0596
0,0,0,1,0,0,5.96,0,0,0,0.5,0,0,0.061
0,0,0,0.5,0,0,6.1,0,0,0,0,0,6,0.0583
0,0,0,0,0,6,5.83,0,0,0,4.8,0,9.4,0.0913
0,0,0,4.8,0,9.4,9.13,0,0,0,0,0,0,0.108
0,0,0,0,0,0,10.8,0,0,0,0,0,0,0.0835
0,0,0,0,0,0,8.35,0,0,0,0,0,0,0.0597
0,0,0,0,0,0,5.97,0,7,0,0,0,0,0.049
0,7,0,0,0,0,4.9,0,10,0,7.3,0,0,0.0449
0,10,0,7.3,0,0,4.49,8.1,10,0,7.6,3.6,28.3,0.0419
8.1,10,0,7.6,3.6,28.3,4.19,0,4,21.52,2.1,0.5,8.8,0.0974
0,4,21.52,2.1,0.5,8.8,9.74,0,0,31,0,0,0,0.2368
0,0,31,0,0,0,23.68,0,0,0,0,0,0,0.1619
0,0,0,0,0,0,16.19,0,0,0,0,0,0,0.0964
0,0,0,0,0,0,9.64,0,0,0,0,0,0.1,0.0669
